item,itemLabel,startDate,endDate,title
Q7614897,Steven Pifer,1997-11-10,2000-10-09,Ambassador Extraordinary and Plenipotentiary
Q5042478,Carlos Pascual,2000-09-15,2003-05-01,Ambassador Extraordinary and Plenipotentiary
Q6230778,John E. Herbst,2003-07-01,2006-05-26,Ambassador Extraordinary and Plenipotentiary
Q8004870,William B. Taylor Jr.,2006-05-30,2009-05-23,Ambassador Extraordinary and Plenipotentiary
Q500486,John F. Tefft,2009-11-20,2013-07-09,Ambassador Extraordinary and Plenipotentiary
Q12100764,Geoffrey R. Pyatt,2013-07-30,2016-08-18,Ambassador Extraordinary and Plenipotentiary
Q6762913,Marie Yovanovitch,2016-05-18,2019-05-20,Ambassador Extraordinary and Plenipotentiary
Q65201082,Joseph Pennington,2019-05-20,2019-05-28,Chargé d'Affaires ad interim
Q65200438,Kristina Kvien,2019-05-28,2019-06-18,Chargé d'Affaires ad interim
Q8004870,William B. Taylor Jr.,2019-06-18,2020-01-01,Chargé d'Affaires ad interim
Q65200438,Kristina Kvien,2020-01-01,2022-05-29,Chargé d'Affaires ad interim
Q66973646,Bridget Brink,2022-05-18,,Ambassador Extraordinary and Plenipotentiary
